timestamp ba_x ba_y ba_z bg_x bg_y bg_z
2625.636000 0.00000006 -0.00000003 -0.00000005 -0.00021547 -0.00000256 -0.00043524
2625.704000 0.00003768 0.00000571 0.00225918 -0.00019199 -0.00003411 -0.00035837
2625.760000 0.00026211 -0.00003595 0.00888424 -0.00011172 -0.00014357 -0.00015714
2625.828000 0.00028523 -0.00003796 0.00919630 -0.00009054 -0.00014454 -0.00014637
2625.908000 0.00034360 -0.00004568 0.00977831 -0.00008019 -0.00012279 -0.00015240
2625.960000 0.00037394 -0.00004574 0.01000278 -0.00008036 -0.00014005 -0.00016120
2626.036000 0.00044830 -0.00001457 0.01031464 -0.00006566 -0.00012721 -0.00017999
2626.096000 0.00054889 0.00000801 0.01046200 -0.00006086 -0.00011342 -0.00016442
2626.168000 0.00059557 0.00001514 0.01028988 -0.00006630 -0.00012351 -0.00012715
2626.228000 0.00059557 0.00001514 0.01028988 -0.00006630 -0.00012351 -0.00012715
2626.296000 0.00063381 0.00003445 0.01046151 -0.00003988 -0.00014455 -0.00012071
2626.360000 0.00063381 0.00003445 0.01046151 -0.00003988 -0.00014455 -0.00012071
2626.436000 0.00077434 0.00005175 0.01048956 -0.00002703 -0.00019604 -0.00011159
2626.500000 0.00081105 0.00005272 0.01051200 -0.00002085 -0.00020485 -0.00011396
2626.564000 0.00086689 0.00007013 0.01055253 0.00001641 -0.00019813 -0.00012514
2626.632000 0.00092753 0.00006884 0.01038454 0.00003236 -0.00018139 -0.00013098
2626.696000 0.00138554 -0.00042000 0.01005017 0.00002935 -0.00018493 -0.00013404
2626.760000 0.00145805 -0.00049599 0.01005387 0.00003846 -0.00019387 -0.00013578
2626.836000 0.00145805 -0.00049599 0.01005387 0.00003846 -0.00019387 -0.00013578
2626.932000 0.00196853 -0.00098437 0.01007401 0.00001362 -0.00021549 -0.00010109
2627.004000 0.00212220 -0.00105582 0.01015785 0.00000920 -0.00022029 -0.00010477
2627.064000 0.00227983 -0.00110972 0.01029515 0.00001915 -0.00022360 -0.00011526
2627.128000 0.00246269 -0.00116193 0.01049631 0.00002176 -0.00022199 -0.00011848
2627.204000 0.00246269 -0.00116193 0.01049631 0.00002176 -0.00022199 -0.00011848
2627.260000 0.00246269 -0.00116193 0.01049631 0.00002176 -0.00022199 -0.00011848
2627.328000 0.00294579 -0.00115775 0.01082869 0.00003887 -0.00024468 -0.00013040
2627.408000 0.00469086 -0.00100427 0.01104106 0.00003647 -0.00024612 -0.00011166
2627.464000 0.00469086 -0.00100427 0.01104106 0.00003647 -0.00024612 -0.00011166
2627.528000 0.00539128 -0.00097603 0.01106338 0.00003784 -0.00023022 -0.00013044
2627.596000 0.00575189 -0.00090250 0.01117309 0.00004263 -0.00022557 -0.00015580
2627.668000 0.00701435 -0.00086970 0.01100980 0.00003655 -0.00023103 -0.00015837
2627.728000 0.00738833 -0.00088116 0.01092853 0.00004202 -0.00022391 -0.00015755
2627.836000 0.00861319 -0.00093952 0.01078368 0.00003969 -0.00019867 -0.00014848
2627.896000 0.00861319 -0.00093952 0.01078368 0.00003969 -0.00019867 -0.00014848
2627.960000 0.00883703 -0.00096627 0.01068915 0.00004348 -0.00018332 -0.00015501
2628.032000 0.00956306 -0.00113353 0.01046107 0.00005786 -0.00015949 -0.00016130
2628.096000 0.01085748 -0.00122372 0.01048724 0.00006150 -0.00014851 -0.00016396
2628.164000 0.01141707 -0.00137760 0.01027666 0.00005552 -0.00016726 -0.00017061
2628.228000 0.01160326 -0.00146586 0.01015073 0.00005435 -0.00017336 -0.00018027
2628.300000 0.01203900 -0.00175283 0.00989732 0.00005330 -0.00017199 -0.00017597
2628.360000 0.01304919 -0.00312093 0.00972120 0.00006155 -0.00016035 -0.00017306
2628.468000 0.01387182 -0.00536859 0.00928940 0.00006601 -0.00014731 -0.00016241
2628.536000 0.01458726 -0.00735731 0.00933989 0.00007322 -0.00014546 -0.00015017
2628.596000 0.01478071 -0.00931086 0.00924366 0.00007594 -0.00015480 -0.00014889
2628.660000 0.01522244 -0.01168533 0.00911464 0.00007094 -0.00017125 -0.00015783
2628.728000 0.01503338 -0.01499886 0.00879282 0.00007730 -0.00017190 -0.00014961
2628.796000 0.01439362 -0.01772684 0.00875197 0.00007870 -0.00017163 -0.00013787
2628.856000 0.01385899 -0.01997182 0.00875499 0.00006660 -0.00017288 -0.00013678
2628.932000 0.01183482 -0.02381993 0.00839369 0.00006230 -0.00017478 -0.00013510
2628.996000 0.01017345 -0.02681127 0.00855623 0.00005878 -0.00017366 -0.00013003
2629.060000 0.00799202 -0.03045074 0.00836661 0.00005704 -0.00017790 -0.00012648
2629.132000 0.00530285 -0.03452165 0.00809021 0.00005591 -0.00019234 -0.00011760
2629.200000 0.00201628 -0.03925175 0.00800305 0.00005676 -0.00019970 -0.00012140
2629.300000 -0.00264142 -0.04541028 0.00768269 0.00006172 -0.00019143 -0.00013366
2629.364000 -0.00681408 -0.04951534 0.00817765 0.00006902 -0.00018036 -0.00013583
2629.464000 -0.01258684 -0.05618450 0.00753971 0.00008289 -0.00017867 -0.00012849
2629.564000 -0.01907582 -0.06506786 0.00736930 0.00009659 -0.00017302 -0.00012018
2629.628000 -0.02033579 -0.06650984 0.00809211 0.00009933 -0.00016776 -0.00011895
2629.696000 -0.02504604 -0.07250095 0.00804056 0.00010455 -0.00016838 -0.00010659
2629.764000 -0.02608403 -0.07397829 0.00828187 0.00009442 -0.00016523 -0.00009948
2629.836000 -0.03142695 -0.08078116 0.00802079 0.00009307 -0.00016560 -0.00009763
2629.900000 -0.03570861 -0.08537897 0.00824372 0.00009057 -0.00015502 -0.00009507
2629.968000 -0.04189058 -0.09135090 0.00836644 0.00008223 -0.00015460 -0.00008876
2630.036000 -0.04487269 -0.09391829 0.00876876 0.00007623 -0.00015619 -0.00010138
2630.100000 -0.04569474 -0.09466409 0.00939698 0.00007156 -0.00014439 -0.00011617
2630.160000 -0.04656742 -0.09513637 0.00967531 0.00007340 -0.00014806 -0.00012031
